date,hometeam,awayteam,fthg,ftag,played
2020-07-16,Everton,Aston Villa,1,1,True
2020-07-16,Southampton,Brighton,1,1,True
2020-07-16,Crystal Palace,Manchester Utd,0,2,True
2020-07-17,West Ham,Watford,3,1,True
2020-07-18,Norwich City,Burnley,0,2,True
2020-07-19,Bournemouth,Southampton,0,2,True
2020-07-19,Tottenham,Leicester City,3,0,True
2020-07-20,Brighton,Newcastle Utd,0,0,True
2020-07-20,Sheffield Utd,Everton,0,1,True
2020-07-20,Wolves,Crystal Palace,2,0,True
2020-07-21,Watford,Manchester City,0,4,True
2020-07-21,Aston Villa,Arsenal,1,0,True
2020-07-22,Manchester Utd,West Ham,1,1,True
2020-07-22,Liverpool,Chelsea,5,3,True
2020-07-26,Southampton,Sheffield Utd,3,1,True
2020-07-26,West Ham,Aston Villa,1,1,True
2020-07-26,Burnley,Brighton,1,2,True
2020-07-26,Chelsea,Wolves,2,0,True
2020-07-26,Crystal Palace,Tottenham,1,1,True
2020-07-26,Everton,Bournemouth,1,3,True
2020-07-26,Arsenal,Watford,3,2,True
2020-07-26,Manchester City,Norwich City,5,0,True
2020-07-26,Leicester City,Manchester Utd,0,2,True
2020-07-26,Newcastle Utd,Liverpool,1,3,True
